"3678","Youtube - Disney Kingdom campaign - United States - iOS","96"
"3680","Youtube - Disney Kingdom campaign - United States - Android","69"
"3732","Adcolony - Disney Kingdom campaign - Germany - Android","0"
"3740","Youtube - Dragon Mania Legends campaign - United States - iOS","195"
"3742","Youtube - Dragon Mania Legends campaign - United States - Android","196"
"3760","Gameloft - Disney Kingdom campaign - Windows 8","112"
"3762","Gameloft - Disney Kingdom campaign - Windows Phone 8","1020"
"3798","Vungle - Disney Kingdom campaign - France - Windows 8","112"
"3800","Vungle - Disney Kingdom campaign - United Kingdom - Windows 8","28"
"3802","Vungle - Disney Kingdom campaign - Germany - Windows 8","109"
"3804","Vungle - Disney Kingdom campaign - Italy - Windows 8","55"
"3806","Vungle - Disney Kingdom campaign - Russia - Windows 8","87"
"3808","Vungle - Disney Kingdom campaign - United States - Windows 8","0"
"3810","Vungle - Disney Kingdom campaign - Canada - Windows 8","47"
"3812","Vungle - Disney Kingdom campaign - Australia - Windows 8","15"
"3850","Adcolony - Disney Kingdom campaign - Hong Kong - iOS","75"
"3854","Adcolony - Disney Kingdom campaign - Taiwan - iOS","178"
"3858","Applifier - Disney Kingdom campaign - Hong Kong - iOS","326"
"3860","Applifier - Disney Kingdom campaign - Hong Kong - Android","0"
"3862","Applifier - Disney Kingdom campaign - Taiwan - iOS","379"
"3864","Applifier - Disney Kingdom campaign - Taiwan - Android","17"
"3868","Vungle - Disney Kingdom campaign - Hong Kong - Android","649"
"3870","Vungle - Disney Kingdom campaign - Taiwan - iOS","226"
"3872","Vungle - Disney Kingdom campaign - Taiwan - Android","768"
"3884","Tapjoy - Disney Kingdom campaign - United Kingdom - iOS","1058"
"3886","Tapjoy - Disney Kingdom campaign - United Kingdom - Android","701"
"3888","Applifier - Disney Kingdom campaign - United Kingdom - iOS","303"
"3912","Chartboost - Dragon Mania Legends campaign - France - Android","898"
"3914","Chartboost - Dragon Mania Legends campaign - United States - Canada - Android","0"
"3938","Sharkgames - Dragon Mania Legends campaign - Russia - iOS","2"
"3942","Sharkgames - Dragon Mania Legends campaign - Russia - Android","133"
"3948","Mobio - Dragon Mania Legends campaign - Russia - iOS","1166"
"3950","Adcolony - Dragon Mania Legends campaign - China - iOS","959"
"3982","Twitter - Disney Kingdom campaign - United States - Canada - iOS","3"
"3984","Twitter - Disney Kingdom campaign - United States - Canada - Android","1"
"3990","Twitter - Disney Kingdom campaign - United Kingdom - iOS","2"
"3992","Twitter - Disney Kingdom campaign - United Kingdom - Android","1"
"4002","Twitter - Dragon Mania Legends campaign - United Kingdom - iOS","1"
"4006","Cheetahmobile - Disney Kingdom campaign - South Korea - Android","187"
"4010","Applifier - Disney Kingdom campaign - South Korea - Android","0"
"4016","Mobio - Dragon Mania Legends campaign - Russia - Android","73"
"4020","Zorkamobi - Dragon Mania Legends campaign - Android","1512"
"4054","Google - Dragon Mania Legends campaign - AdWords - Australia - Android","441"
"4082","Google - Disney Kingdom campaign - AdWords - Australia - Android","13"
"4088","Google - Dragon Mania Legends campaign - AdWords - SEMEA - iOS","17"
"4090","Google - Dragon Mania Legends campaign - AdWords - SEMEA - Android","1936"
"4124","Vungle - Dragon Mania Legends campaign - Mexico - Windows 8","286"
"4126","Vungle - Dragon Mania Legends campaign - Brazil - Windows 8","0"
"4128","Vungle - Dragon Mania Legends campaign - Belgium - Windows 8","63"
"4130","Vungle - Dragon Mania Legends campaign - Switzerland - Windows 8","13"
"4132","Vungle - Dragon Mania Legends campaign - Netherlands - Windows 8","56"
"4134","Vungle - Dragon Mania Legends campaign - Denmark - Windows 8","74"
"4312","Bee7 - Dragon Mania Legends campaign - China - iOS","94"
"4318","Twitter - Dragon Mania Legends campaign - United Kingdom - Android","3"
"4358","Twitter - Dragon Mania Legends campaign - France - iOS","12"
"4360","Twitter - Dragon Mania Legends campaign - France - Android","13"
"4404","Twitter - Dragon Mania Legends campaign - Spain - Android","1"
"4510","Tapjoy - Dragon Mania Legends campaign - United Kingdom - iOS","235"
"4512","Tapjoy - Dragon Mania Legends campaign - United Kingdom - Android","67"
"4548","Adcolony - Disney Kingdom campaign - United States - Canada - Android","3181"
"4576","Chartboost - Dragon Mania Legends campaign - Germany - Android","400"
"4580","Vungle - Dragon Mania Legends campaign - United Kingdom - Android","0"
"4592","Applovin - Dragon Mania Legends campaign - Retention Day 1 - Germany - Android","1409"
"4610","Applifier - Dragon Mania Legends - Nordics - iOS","13"
"4612","Applifier - Dragon Mania Legends - Nordics - Android","463"
"4704","Chartboost - Dragon Mania Legends campaign - United Kingdom - iOS","3"
"4716","Adcolony - Dragon Mania Legends campaign - IT - FR - UK - iOS","655"
"4726","Chartboost - Dragon Mania Legends campaign - Italy - Android","20"
"4736","Chartboost - Dragon Mania Legends campaign - Turkey - iOS","15"
"4742","Loopme - Dragon Mania Legends campaign - Germany - iOS","131"
"4744","Loopme - Dragon Mania Legends campaign - Germany - Android","616"
"4838","Vungle - Disney Kingdom campaign - Netherlands - Windows 8","105"
"4840","Vungle - Disney Kingdom campaign - Switzerland - Windows 8","18"
"4842","Vungle - Disney Kingdom campaign - Belgium - Windows 8","89"
"4844","Vungle - Disney Kingdom campaign - Nordics - Windows 8","84"
"4846","Vungle - Disney Kingdom campaign - Brazil - Windows 8","477"
"4848","Vungle - Disney Kingdom campaign - Mexico - Windows 8","318"
"4882","Appnexus - Dragon Mania Legends campaign - France - iOS","4"
"4884","Appnexus - Dragon Mania Legends campaign - United Kingdom - iOS","4"
"4886","Applike - Dragon Mania Legends campaign - Austria - Android","90"
"4888","Vungle - Dragon Mania Legends campaign - DE - AT - CH - iOS","274"
"4938","Adcolony - Dragon Mania Legends campaign - Hong Kong - Android","158"
"4940","Applifier - Dragon Mania Legends campaign - Hong Kong - iOS","26"
"4942","Applifier - Dragon Mania Legends campaign - Hong Kong - Android","625"
"4944","Vungle - Dragon Mania Legends campaign - Hong Kong - iOS","265"
"4946","Vungle - Dragon Mania Legends campaign - Hong Kong - Android","254"
"4948","Bee7 - Dragon Mania Legends campaign - Hong Kong - iOS","23"
"4950","Bee7 - Dragon Mania Legends campaign - Hong Kong - Android","38"
"4956","Applifier - Dragon Mania Legends campaign - Taiwan - iOS","394"
"4958","Applifier - Dragon Mania Legends campaign - Taiwan - Android","1286"
"4960","Vungle - Dragon Mania Legends campaign - Taiwan - iOS","305"
"4962","Vungle - Dragon Mania Legends campaign - Taiwan - Android","827"
"4964","Bee7 - Dragon Mania Legends campaign - Taiwan - iOS","13"
"4966","Bee7 - Dragon Mania Legends campaign - Taiwan - Android","180"
"4968","Applike - Dragon Mania Legends campaign - United Kingdom - Android","916"
"4974","Cpmstar - Dragon Mania Legends campaign - Germany - Austria - Switzerland - iOS","0"
"4976","Cpmstar - Dragon Mania Legends campaign - Germany - Austria - Switzerland - Android","17"
"4980","Applovin - Disney Kingdom campaign - United States - iOS","7550"
"5012","Chartboost - Disney Kingdom campaign - United Kingdom - Ireland - iOS","4"
"5028","Zorkamobi - Dragon Mania Legends campaign - Russia - iOS","423"
"5030","Tapjoy - Dragon Mania Legends campaign - Taiwan - iOS","0"
"5032","Tapjoy - Dragon Mania Legends campaign - Taiwan - Android","5"
"5044","Chartboost - Dragon Mania Legends campaign - Taiwan - iOS","13"
"5046","Chartboost - Dragon Mania Legends campaign - Taiwan - Android","33"
"5088","Tapjoy - Dragon Mania Legends campaign - Hong Kong - iOS","0"
"5090","Tapjoy - Dragon Mania Legends campaign - Hong Kong - Android","0"
