"Click Date","Install Date","Device Id","Device Name",MAC,IDFV,IDFV_OLD,IDFV_NEW,IDFA,IDFA_OLD,IDFA_NEW,GDID,"Sub Publisher",Country,IP,"Glispa Click ID"
"2016-11-03 19:16:09","2016-11-03 19:21:21",CFD97790-6F2A-411C-A657-C7BCD5FEBCB5,"iPhone6,2",02:00:00:00:00:00,84DBF73C-75B0-4742-8650-6E78DF6E32CC,,,CFD97790-6F2A-411C-A657-C7BCD5FEBCB5,,,5550508000,CD31341,RU,176.213.213.165,CD31341p59774___2119552___2185832___1612288953769916___A01033-59774___4603
"2016-11-03 19:22:32","2016-11-03 19:25:16",73EAD8BC-9437-4456-9F62-FC02190D64E5,"iPhone5,2",02:00:00:00:00:00,B04FB769-C22A-493F-A4D5-6EBD61F548A7,E0BFA774-B9A9-44EF-AB05-40FE5E4365B3,B04FB769-C22A-493F-A4D5-6EBD61F548A7,73EAD8BC-9437-4456-9F62-FC02190D64E5,0388F41C-D9D6-4AD6-B548-B270DF849F36,73EAD8BC-9437-4456-9F62-FC02190D64E5,5922574306,CD31341,RU,109.252.45.226,CD31341p40659___2119552___2185832___0414364059390867___A01033-40659
"2016-11-03 19:39:11","2016-11-03 19:42:13",99CECBD3-5E13-4FC0-AB51-A6CCEAB3B355,"iPhone4,1",02:00:00:00:00:00,25677AB0-595F-412C-BE59-C94126C14843,,,99CECBD3-5E13-4FC0-AB51-A6CCEAB3B355,,,5922591351,CD31341,RU,109.238.92.4,CD31341p59774___2119552___2185832___6559003621935543___A01033-59774___4603
"2016-11-03 14:51:34","2016-11-03 19:46:21",58B709C2-E3C7-4B43-9807-5D0C01A840D4,"iPhone6,2",02:00:00:00:00:00,030DF3C3-5115-47F2-B512-D7270831E207,,,58B709C2-E3C7-4B43-9807-5D0C01A840D4,,,5821837016,CD31341,RU,217.118.93.184,CD31341p59774___2119552___2185832___7460076082098770___A01033-59774___4603
"2016-11-03 20:16:38","2016-11-03 20:41:59",AFE480B7-7642-4B2F-AF77-4A4389100D4C,"iPad2,2",02:00:00:00:00:00,3A5031A5-B0F6-47F3-B71F-B71E69263B61,,,AFE480B7-7642-4B2F-AF77-4A4389100D4C,,,4614399584,CD31341,RU,95.221.203.26,CD31341p59774___2119552___2185832___6582622003115153___A01033-59774___4603
"2016-11-03 20:50:29","2016-11-03 20:52:35",7D03D4D7-AC48-49AB-97E9-9ADF2CD3BB1B,"iPhone6,2",02:00:00:00:00:00,284D6021-0925-4291-A453-E9585C9A0084,,,7D03D4D7-AC48-49AB-97E9-9ADF2CD3BB1B,,,3255512037,CD31341,RU,37.146.54.44,CD31341p59774___2119552___2185832___9961954433795252___A01033-59774___4603
"2016-11-03 21:00:53","2016-11-03 21:04:25",00000000-0000-0000-0000-000000000000,"iPhone5,4",02:00:00:00:00:00,49B885B2-86EE-43A5-B37F-7E5185F3E42F,827E14ED-E0A4-499E-BC0D-67FFE0E9DF72,49B885B2-86EE-43A5-B37F-7E5185F3E42F,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,5922669946,CD31341,RU,95.181.20.11,CD31341p59774___2119552___2185832___4903432837280358___A01033-59774___4603
"2016-11-03 21:06:37","2016-11-03 21:11:50",CE13EB73-3B38-4065-97D0-7050A75565C4,"iPhone4,1",02:00:00:00:00:00,E6CDE583-5E44-48A0-BCF1-F11027CA2BD1,,,CE13EB73-3B38-4065-97D0-7050A75565C4,,,3655841464,CD31341,RU,178.68.197.203,CD31341p59774___2119552___2185832___8732620719594992___A01033-59774___4603
"2016-11-03 22:36:22","2016-11-03 21:49:48",E268D879-30B1-4A0C-A2D7-ACFB0286EA4F,"iPad3,3",02:00:00:00:00:00,AE34E084-35F7-4354-B615-F49A0FA050AA,,,E268D879-30B1-4A0C-A2D7-ACFB0286EA4F,,,3101992510,CD31341,RU,91.215.123.76,CD31341p59774___2119552___2185832___4702785146646240___A01033-59774___4603
"2016-11-03 22:04:30","2016-11-03 22:10:39",B7E44E59-67DD-43B5-94FF-0B747B7E1B69,"iPad3,6",02:00:00:00:00:00,11F42EBD-4D5D-4F7C-B3BD-37ED97CBF497,1762E0C0-DB68-4F8B-A0CD-6AEC98DE9A39,11F42EBD-4D5D-4F7C-B3BD-37ED97CBF497,B7E44E59-67DD-43B5-94FF-0B747B7E1B69,00000000-0000-0000-0000-000000000000,B7E44E59-67DD-43B5-94FF-0B747B7E1B69,5922728765,CD31341,RU,109.252.26.78,CD31341p59774___2119552___2185832___6587752504101654___A01033-59774___4603
"2016-11-03 22:29:08","2016-11-03 22:34:46",1097D7EB-AF8F-417D-BED2-31F1DEA963FC,"iPhone6,2",02:00:00:00:00:00,E1561750-2325-490C-9CC8-01C6EC45CE64,,,1097D7EB-AF8F-417D-BED2-31F1DEA963FC,,,5922749938,CD31341,RU,95.153.132.249,CD31341p59774___2119552___2185832___1707621767404873___A01033-59774___4603
"2016-11-04 00:29:51","2016-11-04 00:35:35",39081215-2344-4710-8758-AC37CFF73476,"iPad2,7",02:00:00:00:00:00,EA4F3F0F-15A0-478C-AEC4-CFC89CA200BA,,,39081215-2344-4710-8758-AC37CFF73476,,,5922855987,CD31341,RU,77.244.21.27,CD31341p59774___2119552___2185832___7138567743385513___A01033-59774___4603
"2016-11-04 00:08:13","2016-11-04 04:15:42",9D17B0C5-936B-4CA0-BEB5-1A211AF8691B,"iPhone8,1",02:00:00:00:00:00,AFBBE629-3B80-4700-9F25-799D44D56660,,,9D17B0C5-936B-4CA0-BEB5-1A211AF8691B,,,5923036506,CD31341,RU,217.118.64.54,CD31341p59774___2119552___2185832___6394788976314322___A01033-59774___4603
"2016-11-04 04:27:27","2016-11-04 04:29:33",B01DD179-31F4-46B7-99F1-8BDD45430671,"iPad2,5",02:00:00:00:00:00,2697BAD1-D70D-4B6E-976A-BF0A711AAE9B,3EC1AEBC-4774-4BE1-983F-07853708E9E2,2697BAD1-D70D-4B6E-976A-BF0A711AAE9B,B01DD179-31F4-46B7-99F1-8BDD45430671,B01DD179-31F4-46B7-99F1-8BDD45430671,B01DD179-31F4-46B7-99F1-8BDD45430671,5922063482,CD31341,RU,91.185.84.176,CD31341p59774___2119552___2185832___4396637114676470___A01033-59774___4603
"2016-11-04 05:43:55","2016-11-04 05:47:44",951F1DC5-FE0F-41F1-9F54-BC9DE629C107,"iPhone4,1",02:00:00:00:00:00,C256C2F7-9866-4CBA-AB78-07F62244E76F,,,951F1DC5-FE0F-41F1-9F54-BC9DE629C107,,,4417207614,CD31341,RU,95.83.188.241,CD31341p59774___2119552___2185832___6062948631710356___A01033-59774___4603
"2016-11-04 06:15:10","2016-11-04 06:17:08",82A89A9B-7A76-4DDC-A294-1B1C474322FF,"iPad2,5",02:00:00:00:00:00,72C181C2-4951-4452-9A87-1AA934E3FBB0,2697BAD1-D70D-4B6E-976A-BF0A711AAE9B,72C181C2-4951-4452-9A87-1AA934E3FBB0,82A89A9B-7A76-4DDC-A294-1B1C474322FF,B01DD179-31F4-46B7-99F1-8BDD45430671,82A89A9B-7A76-4DDC-A294-1B1C474322FF,5923132972,CD31341,RU,95.104.227.234,CD31341p59774___2119552___2185832___3166942752739965___A01033-59774___4603
"2016-11-04 05:33:03","2016-11-04 06:25:20",A4530DD3-7DE6-44AF-85BE-7E9F3A23D505,"iPhone3,2",02:00:00:00:00:00,037A283C-547E-4798-B1A8-C9F26C0F1F4C,,,A4530DD3-7DE6-44AF-85BE-7E9F3A23D505,,,2164829949,CD31341,RU,188.162.36.10,CD31341p59774___2119552___2185832___1106079003826227___A01033-59774___4603
"2016-11-04 06:33:34","2016-11-04 06:35:47",AE582E35-64D2-4ABB-9DAE-A2CA0637589F,"iPad2,5",02:00:00:00:00:00,AE24AB62-E727-4EDE-9A84-73E86713B96C,72C181C2-4951-4452-9A87-1AA934E3FBB0,AE24AB62-E727-4EDE-9A84-73E86713B96C,AE582E35-64D2-4ABB-9DAE-A2CA0637589F,82A89A9B-7A76-4DDC-A294-1B1C474322FF,AE582E35-64D2-4ABB-9DAE-A2CA0637589F,5923147494,CD31341,RU,95.104.221.242,CD31341p59774___2119552___2185832___7611275126730725___A01033-59774___4603
"2016-11-04 06:41:45","2016-11-04 07:10:34",F7A43DC1-E036-4711-B9A5-08F1D43E7D8C,"iPad4,2",02:00:00:00:00:00,4B8C9E67-7AE5-4201-BE39-7B6E10CDC49C,,,F7A43DC1-E036-4711-B9A5-08F1D43E7D8C,,,5923174223,CD31341,RU,46.16.229.114,CD31341p59774___2119552___2185832___6856565795474645___A01033-59774___4603
"2016-11-04 10:52:17","2016-11-04 10:54:57",F7569D70-4B46-4C5B-881C-BCF34C22209C,"iPad2,5",02:00:00:00:00:00,07DA4062-4C89-4A0A-B10E-456A18C2007B,AE24AB62-E727-4EDE-9A84-73E86713B96C,07DA4062-4C89-4A0A-B10E-456A18C2007B,F7569D70-4B46-4C5B-881C-BCF34C22209C,AE582E35-64D2-4ABB-9DAE-A2CA0637589F,F7569D70-4B46-4C5B-881C-BCF34C22209C,5923396413,CD31341,RU,95.104.221.242,CD31341p59774___2119552___2185832___5609343160140814___A01033-59774___4603
"2016-11-04 03:53:21","2016-11-04 11:13:53",5246EE04-5B16-4E46-AC7C-EC9B2153BA74,"iPhone6,2",02:00:00:00:00:00,649812D6-C863-435F-BEF8-1FC123C5C374,,,5246EE04-5B16-4E46-AC7C-EC9B2153BA74,,,5923419929,CD31341,RU,217.118.79.33,CD31341p59774___2119552___2185832___5459554335505322___A01033-59774___4603
"2016-11-04 11:09:04","2016-11-04 11:14:33",039BC823-D3B2-4683-A0AA-92F3B3FED133,"iPhone4,1",02:00:00:00:00:00,A4BE02AE-570E-465A-BBA7-FDB8DB3EECC2,,,039BC823-D3B2-4683-A0AA-92F3B3FED133,,,5923420834,CD31341,RU,217.20.75.127,CD31341p59774___2119552___2185832___1059590124493915___A01033-59774___4603
