GAID,Timestamp,"Sub Publisher","Sub Publisher 2","Sub Publisher 3","Sub Publisher 4","Sub Publisher 5"
b3495b0b-483d-47d6-8141-92f899173dc6,"2016-08-04 01:23:07",{campaignid},,UAC_Youtube,,
5d86ce20-8d58-443a-bc9f-9dbb2ce07618,"2016-08-04 01:24:07",635118688,,UAC_Search,,
df122189-f55f-41ed-b634-f66754ea5c5b,"2016-08-04 01:25:07","DML_SEARCH_ANDROID_4.4 _US_07.05.16",28151641725,Search,,"dragon mania legends download"
4eb9a929-e99f-4e4b-8347-53ebe4550ead,"2016-08-04 01:27:07",635118688,,UAC_Search,,
5d7b592c-bf87-45a0-bd9d-7fe8446306cf,"2016-08-04 01:29:04",635118688,,UAC_Search,,
b93ada68-09bb-4d8b-8496-3144081f1a3a,"2016-08-04 01:31:04",635118688,,UAC_Search,,
a91d5946-abe9-46a9-87c6-623c3f9ef493,"2016-08-04 01:33:05",635118688,,UAC_Search,,
52944a50-6dc9-46af-ae5e-8718dc999bc7,"2016-08-04 01:33:05","DML_SEARCH_ANDROID_4.4 _US_07.05.16",28151641725,Search,,dragon
d87bacd8-5273-47d0-9d2b-0384eb2c3c79,"2016-08-04 01:35:06","DML_SEARCH_ANDROID_4.4 _US_07.05.16",28151641725,Search,,dragon
12b51329-66ca-4dae-87d6-aec551d39cb5,"2016-08-04 01:36:07",{campaignid},,UAC_Youtube,,
76143988-f5b9-440b-b4c0-4e5e05c237b4,"2016-08-04 01:39:07",{campaignid},,UAC_Youtube,,
fd15fc9b-a851-4796-986c-5da83ecadd9e,"2016-08-04 01:40:04",635118688,,UAC_Search,,
423aaa5b-af28-4a85-b3ad-6c93d77e0cab,"2016-08-04 01:41:04",635118688,,UAC_Search,,
04efce2b-92e5-4200-be67-51987f0ea498,"2016-08-04 01:41:08",635118688,,UAC_Search,,
22e304eb-7425-48a7-aa8e-df76137ba8fb,"2016-08-04 01:43:05",{campaignid},,UAC_Youtube,,
c409384a-272a-4221-99a1-be8e4927c60b,"2016-08-04 01:44:04",635118688,,UAC_Search,,
aebe3c33-1de4-40f8-ac21-b0e3d4e3818e,"2016-08-04 01:44:05",635118688,,UAC_Youtube,,
48c1e952-55f8-4a80-8cb7-7d9fa24548cf,"2016-08-04 01:47:06",635118688,,UAC_Youtube,,
904dcb3e-5a41-4072-ab89-b864554d9904,"2016-08-04 01:47:06",635118688,,UAC_Search,,
713171e7-a78e-4523-b755-8ff099e0de49,"2016-08-04 01:50:04",635118688,,UAC_Search,,
daeb7847-d2d7-452a-b228-689a89f68385,"2016-08-04 01:53:04","DML_SEARCH_ANDROID_4.4 _US_07.05.16",28151641725,Search,,dragon
1252e688-7a61-4daa-91d5-70e695a9be9e,"2016-08-04 01:54:05","DML_SEARCH_ANDROID_4.4 _US_07.05.16",28151641725,Search,,dragon
c11d1581-0aba-4dad-be45-82bb5174e275,"2016-08-04 01:56:06",635118688,,UAC_Youtube,,
5a98de9d-eab3-4dec-9e20-f254f536c572,"2016-08-04 01:58:07",635118688,,UAC_Youtube,,
4975a092-1a53-4043-bee0-df087558854d,"2016-08-04 01:59:06",635118688,,UAC_Youtube,,
973f5b1b-da89-4918-805a-050803d22c42,"2016-08-04 02:00:08",635118688,,UAC_Search,,
4061a292-381e-4ea2-8e2d-7931c96f569f,"2016-08-04 02:02:09",635118688,,UAC_Search,,
feda5339-772b-4491-9f23-7e9ff0c0999c,"2016-08-04 02:03:08",635118688,,UAC_Search,,
888fb5e8-5eca-40f7-93a5-fa087e290962,"2016-08-04 02:03:08","DML_SEARCH_ANDROID_4.4 _US_07.05.16",28151641725,Search,,dragon
34116285-8acc-4f66-85cb-6b6a9ae9a699,"2016-08-04 02:06:10","DML_SEARCH_ANDROID_4.4 _US_07.05.16",28151641725,Search,,dragon
68d301ed-3ef8-4e77-b883-ef9023e369e2,"2016-08-04 02:07:06",{campaignid},,UAC_Youtube,,
81d7256a-3510-4f3c-a32e-7403a8fa8263,"2016-08-04 02:13:07","DML_SEARCH_ANDROID_4.4 _US_07.05.16",28151641725,Search,,"dragon mania legends breeding"
f711b545-4dc9-410d-a503-6644ac2d02de,"2016-08-04 02:15:05",635118688,,UAC_Search,,
308ab1de-79eb-418f-8429-2e7297b9e4f9,"2016-08-04 02:16:05",635118688,,UAC_Search,,
b506acf3-e53b-4be8-a2f2-0e0cc4a21bdb,"2016-08-04 02:17:06",635118688,,Other,,
5b19eb31-6346-401c-9481-b6cd73de5cd3,"2016-08-04 02:18:06",635118688,,UAC_Search,,
63831413-ce2e-4647-9f02-d0d1bcd74014,"2016-08-04 02:20:05",635118688,,UAC_Youtube,,
134147de-d64e-49e1-be45-cec8bdb35453,"2016-08-04 02:20:07",635118688,,UAC_Youtube,,
ea777757-019e-406e-9fb4-ffcf9b3c700e,"2016-08-04 02:22:06",635118688,,UAC_Youtube,,
05f653c9-a7f6-4e80-ac28-9fccda08a204,"2016-08-04 02:22:08","DML_SEARCH_ANDROID_4.4 _US_07.05.16",28151641725,Search,,dragon
729f40eb-1cfb-498a-9f46-cad0f05be70b,"2016-08-04 02:23:07",{campaignid},,UAC_Youtube,,
d5d9ed71-13ac-4729-bb85-cd92bfde5a44,"2016-08-04 02:24:07",{campaignid},,UAC_Youtube,,
8083c0cf-21b3-48d9-9b87-43e7014e6b8c,"2016-08-04 02:24:08",635118688,,UAC_Youtube,,
1992f8ba-ff1f-4db9-9583-0aaf632712c6,"2016-08-04 02:26:04",635118688,,UAC_Search,,
8773de36-2ee0-41e8-b4ab-ea2cbf49365c,"2016-08-04 02:27:05","DML_SEARCH_ANDROID_4.4 _US_07.05.16",28151641725,Search,,dragon
da0e56c1-0a24-46f5-9675-90ab9062eb5d,"2016-08-04 02:28:06",{campaignid},,UAC_Youtube,,
692de0b9-1d12-4a5a-90f2-e0209f1b25f8,"2016-08-04 02:28:06",635118688,,UAC_Search,,
26302e46-f412-44e2-ae6c-48dd13925054,"2016-08-04 02:29:06",635118688,,UAC_Search,,
a48cc432-76f5-4f97-b518-73c2e9f01e6e,"2016-08-04 02:29:07",{campaignid},,UAC_Youtube,,
a1048d74-dced-4f4d-a746-0e97007f5927,"2016-08-04 02:33:09",635118688,,UAC_Search,,
673f7a22-6c84-46f7-96d5-865bf765d5cf,"2016-08-04 02:37:06",635118688,,UAC_Search,,
50bfb278-89d8-4251-a6ed-5acbee7b33cc,"2016-08-04 02:39:05",{campaignid},,UAC_Youtube,,
ddc88e90-dbd3-490d-9d8b-a432eb3f3e64,"2016-08-04 02:39:07",635118688,,UAC_Search,,
cd325cf0-561e-4779-b63b-152cefa22ffd,"2016-08-04 02:41:06",635118688,,UAC_Youtube,,
3d543601-82f3-490d-9056-4ee57f882e0c,"2016-08-04 02:43:08",635118688,,UAC_Search,,
f6d740e6-810f-48a7-96cb-c2b4c9a504e4,"2016-08-04 02:44:04",{campaignid},,UAC_Youtube,,
47d40576-982d-4de0-980e-4952a30007da,"2016-08-04 02:46:05",635118688,,UAC_Youtube,,
b1d92309-71d0-4d21-8eed-0689e92da338,"2016-08-04 02:47:05",635118688,,UAC_Search,,
1f5815da-9e22-4887-b553-7fa32b42b6d8,"2016-08-04 02:48:06",635118688,,UAC_Youtube,,
31c94522-7f41-4306-8ead-26e54bd5ef31,"2016-08-04 02:49:06",635118688,,UAC_Search,,
cc88dd36-bfb3-4bea-9ac6-7650ad364a3a,"2016-08-04 02:50:07",635118688,,UAC_Youtube,,
49983536-228c-4546-9f4c-173d98b1c146,"2016-08-04 02:53:10",635118688,,UAC_Youtube,,
f200ab78-578b-4f81-be2b-c838cb481b11,"2016-08-04 02:54:08",635118688,,UAC_Search,,
3fcf117c-3af8-448e-b9c3-a811ec395bae,"2016-08-04 02:55:05",635118688,,UAC_Search,,
6f1391c7-767e-45be-a260-6765f310a21f,"2016-08-04 02:57:04",635118688,,UAC_Search,,
9ee70f15-99e5-43d6-993a-0deedaa2579d,"2016-08-04 02:59:10",635118688,,UAC_Youtube,,
bbbc13e7-1441-4df6-b803-47675b025e4d,"2016-08-04 03:00:31","DML_SEARCH_ANDROID_4.4 _US_07.05.16",28151641725,Search,,dragon
bb756b40-a22d-4773-85ab-9ab11325a66e,"2016-08-04 03:00:46","DML_SEARCH_ANDROID_4.4 _US_07.05.16",28151641725,Search,,dragon
0da80bef-c879-4983-b532-a78ae890eb6d,"2016-08-04 03:03:31","DML_SEARCH_ANDROID_4.4 _US_07.05.16",28151641725,Search,,dragon
8ff01b5c-2bf9-4e15-b421-38e86b348d38,"2016-08-04 03:04:04",{campaignid},,UAC_Youtube,,
f507a7c8-4bed-4cd8-91cd-6274a80d9a16,"2016-08-04 03:04:08","DML_SEARCH_ANDROID_4.4 _US_07.05.16",28151641725,Search,,"dragon mania legends eggs"
a6f63d31-caed-4b41-a704-1563e2c4ae1c,"2016-08-04 03:06:05",635118688,,UAC_Search,,
cffa9b62-1792-41c7-b4db-1d895359b879,"2016-08-04 03:09:06",635118688,,UAC_Search,,
cbf92972-3348-43dc-b141-cb7c22c1fb65,"2016-08-04 03:09:07","DML_SEARCH_ANDROID_4.4 _US_07.05.16",28151641725,Search,,dragon
db73d69e-9c70-4cb1-9c50-5b768dc1b6d8,"2016-08-04 03:09:07",635118688,,UAC_Youtube,,
978b4b52-9aca-47da-b143-0ace76982149,"2016-08-04 03:10:08",635118688,,UAC_Search,,
31451f92-1e64-4143-842a-0409add83835,"2016-08-04 03:10:08",635118688,,UAC_Youtube,,
0f6fe30f-2a66-48f3-b6b8-2b8a94114033,"2016-08-04 03:11:08",635118688,,UAC_Search,,
e19a8c54-e3c0-4617-8483-e2793c748cf6,"2016-08-04 03:12:09",635118688,,UAC_Search,,
d6619562-90b7-4c57-90ed-26e434d3d5cd,"2016-08-04 03:13:09",635118688,,UAC_Search,,
c7818cd9-4f73-4c9c-a722-7ef031325468,"2016-08-04 03:15:05",635118688,,UAC_Search,,
d9401664-a065-47d9-b324-e09eaa7e9cf2,"2016-08-04 03:16:05",635118688,,UAC_Youtube,,
50582807-8e44-47b7-a61d-cd8da324dd85,"2016-08-04 03:21:08","DML_SEARCH_ANDROID_4.4 _US_07.05.16",28151641725,Search,,dragon
2424a1d7-28f8-4daa-8e7e-197de9e9a399,"2016-08-04 03:22:07",635118688,,UAC_Search,,
c9b5db7d-cb28-4cd5-aca0-99929b5279b9,"2016-08-04 03:25:05","DML_SEARCH_ANDROID_4.4 _US_07.05.16",28151641725,Search,,"dragon mania"
0bab338e-38e1-4b07-ab9e-dbabd344154c,"2016-08-04 03:27:06","DML_SEARCH_ANDROID_4.4 _US_07.05.16",28151641725,Search,,dragon
2469f0ae-ae4c-4fb1-b9e5-9eff18a4ab40,"2016-08-04 03:27:09","DML_SEARCH_ANDROID_4.4 _US_07.05.16",28151641725,Search,,"dragon mania legends breeding"
0f92b46c-d579-4a0c-b86a-2b1c5bb2a92b,"2016-08-04 03:29:06",635118688,,UAC_Search,,
03122673-a991-429c-8c28-28c38fbbadf6,"2016-08-04 03:33:09",{campaignid},,UAC_Youtube,,
fb32c2dd-48f0-4312-865c-c042dedd62f3,"2016-08-04 03:35:04",{campaignid},,UAC_Youtube,,
9de413ca-6ab4-427b-8535-c890b2c43965,"2016-08-04 03:35:04",635118688,,UAC_Youtube,,
e6ba4c62-cab9-4de7-90c8-85114e305c56,"2016-08-04 03:37:14",635118688,,UAC_Youtube,,
6d9dd345-969a-48b7-8fe1-e3e79d154729,"2016-08-04 03:40:05","DML_SEARCH_ANDROID_4.4 _US_07.05.16",28151641725,Search,,"dragon mania legends breeding"
d43b470a-b166-40a2-aa14-b7dd0b04cd3b,"2016-08-04 03:41:06",635118688,,UAC_Youtube,,
52931123-866e-4f03-b6d8-375ed054ac91,"2016-08-04 03:51:06",{campaignid},,UAC_Youtube,,
85ded4e8-7aa1-4e5c-a22c-f102a9389f5b,"2016-08-04 03:51:07",635118688,,UAC_Search,,
990c6313-41df-4353-8b30-b78f57c85d2e,"2016-08-04 03:53:07",635118688,,UAC_Youtube,,
1211da41-43b1-4b61-9725-ad10252e77d8,"2016-08-04 03:53:07",635118688,,UAC_Youtube,,
a30d81cd-d684-4b14-bc4c-e5363626604b,"2016-08-04 03:56:08",635118688,,UAC_Youtube,,
