"Sub Publisher",Attributions
1065490,1
1065527,3
1066196,6
1066236,1
106630,2
106653,2
1066580,1
106678,6
1067090,1
106721,1
106736,45
1067406,2
106749,1
106759,2
1068087,1
1068158,1
1068225,1
1068425,7
1068450,1
1068487,3
1068618,2
106873,1
106879,9
1068902,5
1068912,1
1068972,1
1069093,3
106931,2
1069381,12
106977,1
1069865,2
1069b78a70a2ca378050e2ebb6a6dc3d8be95394,1
1070027,1
1070061,1
1070104,1
1070298,3
1070302,11
1070395,1
1070568,34
1070598,2
1070688,3
107075,5
107081,3
107084,1
1070861,1
1070862,1
1070931,3
1070964,1
107121,1
1071503,2
107172,1
107179,1
1071937,71
1072051,1
107214,1
1072140,1
1072146,1
107215,5
107231,1
1072431,1
1072457,2
1072638,2
1072864,1
107347,6
107350,8
107353,4
107357,2
1073582,1
1073667,1
1073718,2
1073777,80
1073815,1
1074445,3
1074484,1
1074525,1
1074546,2
1074548,2
107487,1
1074926,10
1075029,2
1075031,1
107543,1
1075501,14
1075524,1
1075763,10
1075828,1
1076085,1
1076134,2
1076175,3
1076266,5
1076385,1
107642,1
1076870,9
107697,1
107698,1
107700,1
1077024,1
1077044,1
1077298,1
107734,1
1077409,1
1077618,1
1077731,1
107774,1
1077814,2
1077978,5
107815,2
107817,1
1078280,1
1078340,2
107838,1
1078536,2
1078639,1
107874,2
107884,64
1078887,1
1078908,1
1079026,1
1079046,1
1079164,1
1079224,75
1079466,1
1079482,4
107979,1
1079836,1
1080494,43
108057,2
1080920,1
1080921,3
108100,2
1081021,1
1081092,5
1081182,1
108123,1
1081464,1
1081572,1
1081590,3
1081600,1
1081602,1
108209,1
1082221,1
108248,2
1082569,1
108261,87
1082640,7
1082719,12
108281,1
1083365,2
1083557,2
1083564,2
1083701,1
1083763,1
1083874,3
1083912,1
1083921,1
1084052,1
1084122,1
1084143,1
1084372,1
1084424,1
1085,1
108505,1
108511,2
1085122,1
1085127,1
108517,1
108536,1
1085426,1
1085540,1
1085581,1
1085628,1
1085703,2
1085853,1
108590,1
108622,1
1086409,2
1086425,1
108658,13
1086624,1
108675,121
108769,3
1087735,2
108783,2
1088099,6
1088129,2
1088654,2
1088977,1
1089325,1
1089382,4
1090100,4
109026,110
109029,132
109030,1
109060,31
109078,1
109082,8
109093,3
109117,1
109139,2
109146,1
109305,1
109328,3
109428,3
109439,1
109443,1
109630,1
109639,7
109647,1
109661,3
109683,1
109697,2
109711,2
109732,1
109781,7
109815,4
109848,4
109854,7
109855,1
109859,285
109874,1
110014,3
110016,1
110103,3
110145,2
110158,1
110164,1
110169,3
110211,48
110215,3
110216,3
110259,1
110263,1
110324,2
110454,1
110462,1
110500,1
110512,1
110526,1
110606,6
110639,1
110775,1
110780,1
110791,1
110797,37
11081,3
110899,1
110920,1
110921,307
111048,1
111049,12
111132,7
111164,4
11117,2
111236,2
111275,1
11139,210
111397,7
111399,4
111400,3
111454,10
11153,1
111542,2
111600,2
111634,1
111646,95
111666,1
111677,1
111747,21
111762,1
111804,1
111805,2
111807,2
111885,5570
111896,1
11190,1
11193,24
111985,4
112087,1
112115,1
112136,1
112146,3
112186,2
112217,1
112247,1
112265,2
112293,13
112301,1
112397,1
112399,1
112405,2
112416,1
11253,49
112560,1
112572,1
112596,1
11261,32
112641,1
11266,1
11268,2
112756,2
112871,1
112873,1
112927,4
113008,27
11302,1
113040,1
113198,2
113254,2
113261,21
113418,1
113476,1
113536,1
113544,16
113614,1
11364,1
113644,1
113707,5
113712,1
11373,12
113743,1
11375,103
11383,23
113871,2
113949,2
113956,1
113960,2
113970,8
113976,3
113985,2
114009,10
114111,20
114125,3
114259,1
114323,1
114601,9
114761,3
114767,1
114804,1
114824,1
11483,1
114862,8
114908,12
114959,3
115093,1
115207,1
115308,3
115322,2
115327,1
115370,3
115443,84
11547,24
115609,2
115621,1
11577,1
