Game,"Camp ID",Publisher,Country,OS,"Conversions (total for  last 7 days)"
"Disney Kingdom",3886,Tapjoy,"United Kingdom",Android,701
"Disney Kingdom",3888,Applifier,"United Kingdom",iOS,303
"Dragon Mania Legends",3912,Chartboost,France,Android,898
"Dragon Mania Legends",3914,Chartboost,"United States - Canada",Android,0
"Dragon Mania Legends",3938,Sharkgames,Russia,iOS,2
"Dragon Mania Legends",3942,Sharkgames,Russia,Android,133
"Dragon Mania Legends",3948,Mobio,Russia,iOS,1166
"Dragon Mania Legends",3950,Adcolony,China,iOS,959
"Disney Kingdom",3982,Twitter,"United States - Canada",iOS,3
"Disney Kingdom",3984,Twitter,"United States - Canada",Android,1
"Disney Kingdom",3990,Twitter,"United Kingdom",iOS,2
"Disney Kingdom",3992,Twitter,"United Kingdom",Android,1
"Dragon Mania Legends",4002,Twitter,"United Kingdom",iOS,1
"Disney Kingdom",4006,Cheetahmobile,"South Korea",Android,187
"Disney Kingdom",4010,Applifier,"South Korea",Android,0
"Dragon Mania Legends",4016,Mobio,Russia,Android,73
"Dragon Mania Legends",4020,Zorkamobi,,Android,1512
"Dragon Mania Legends",4054,Google,Australia,Android,441
"Disney Kingdom",4082,Google,Australia,Android,13
"Dragon Mania Legends",4088,Google,SEMEA,iOS,17
"Dragon Mania Legends",4090,Google,SEMEA,Android,1936
"Dragon Mania Legends",4124,Vungle,Mexico,"Windows 8",286
"Dragon Mania Legends",4126,Vungle,Brazil,"Windows 8",0
"Dragon Mania Legends",4128,Vungle,Belgium,"Windows 8",63
"Dragon Mania Legends",4130,Vungle,Switzerland,"Windows 8",13
"Dragon Mania Legends",4132,Vungle,Netherlands,"Windows 8",56
"Dragon Mania Legends",4134,Vungle,Denmark,"Windows 8",74
"Dragon Mania Legends",4312,Bee7,China,iOS,94
"Dragon Mania Legends",4318,Twitter,"United Kingdom",Android,3
"Dragon Mania Legends",4358,Twitter,France,iOS,12
"Dragon Mania Legends",4360,Twitter,France,Android,13
"Dragon Mania Legends",4404,Twitter,Spain,Android,1
"Dragon Mania Legends",4510,Tapjoy,"United Kingdom",iOS,235
"Dragon Mania Legends",4512,Tapjoy,"United Kingdom",Android,67
"Disney Kingdom",4548,Adcolony,"United States - Canada",Android,3181
"Dragon Mania Legends",4576,Chartboost,Germany,Android,400
"Dragon Mania Legends",4580,Vungle,"United Kingdom",Android,0
"Dragon Mania Legends",4592,Applovin,Germany,Android,1409
"Dragon Mania Legends",4610,Applifier,Nordics,iOS,13
"Dragon Mania Legends",4612,Applifier,Nordics,Android,463
"Dragon Mania Legends",4704,Chartboost,"United Kingdom",iOS,3
"Dragon Mania Legends",4716,Adcolony,"IT - FR - UK",iOS,655
"Dragon Mania Legends",4726,Chartboost,Italy,Android,20
"Dragon Mania Legends",4736,Chartboost,Turkey,iOS,15
"Dragon Mania Legends",4742,Loopme,Germany,iOS,131
"Dragon Mania Legends",4744,Loopme,Germany,Android,616
"Disney Kingdom",4838,Vungle,Netherlands,"Windows 8",105
"Disney Kingdom",4840,Vungle,Switzerland,"Windows 8",18
"Disney Kingdom",4842,Vungle,Belgium,"Windows 8",89
"Disney Kingdom",4844,Vungle,Nordics,"Windows 8",84
"Disney Kingdom",4846,Vungle,Brazil,"Windows 8",477
"Disney Kingdom",4848,Vungle,Mexico,"Windows 8",318
"Dragon Mania Legends",4882,Appnexus,France,iOS,4
"Dragon Mania Legends",4884,Appnexus,"United Kingdom",iOS,4
