"1001564","1"
"100268","1"
"100319","1"
"1005919","2"
"1006203","2"
"100655","1"
"1007553","1"
"100818","4"
"1009225","2"
"101020","1"
"1011453","1"
"101148","1"
"1014377","1"
"1014729","1"
"101489","1"
"1016551","2"
"102131","7"
"1021777","2"
"1022683","1"
"1027985","1"
"1030895","1"
"1032098","24"
"1033571","1"
"103375","1"
"1033970","1"
"1034277","5"
"1034291","2"
"103502","1"
"1037258","2"
"1041166","1"
"1041533","1"
"1044157","1"
"105734","1"
"11261","3"
"11375","5"
"11834","3"
"11939","19"
"12467","1"
"12658","2"
"12723","1"
"12728","1"
"13104","1"
"131621828","2"
"131621836","1"
"131622426","1"
"131623075","14"
"131623336","1"
"131623529","1"
"131623706","3"
"131623918","1"
"131624384","6"
"131624510","1"
"131624550","1"
"131624552","1"
"131625828","1"
"131625844","1"
"131626346","172"
"131626348","111"
"131626496","1"
"14121","3"
"14340","1"
"14448","1"
"14901","1"
"14917","1"
"15352","1"
"15553","3"
"15622","1"
"15934","13"
"15936","8"
"15938","1"
"15940","4"
"15948","5"
"15950","21"
"16966","1"
"17085","60"
"18170","3"
"18549","1"
"19537","3"
"19935","1"
"20083","3"
"20144","1"
"21117","4"
"21196","1"
"22612","1"
"22911","1"
"22912","1"
"23217","1"
"24228","1"
"24594","2"
"25033","1"
"25188","1"
"26169","1"
"26686","2"
"27031","1"
"27803","2"
"28023","1"
"28487","12"
"28490","1"
"28491","6"
"28494","5"
"28566","2"
"29164","1"
"29205","1"
"30183","3"
"30184","14"
"30193","1"
"31451","1"
"31475","1"
"31938","1"
"32347","2"
"32684","2"
"33162","1"
"33355","4"
"33441","1"
"33623","8"
"34542","1"
"34953","1"
"35022","1"
"35044","1"
"35477","1"
"35877","1"
"36614","3"
"37070","1"
"37584","3"
"38365","1"
"38392","1"
"38399","1"
"38654","2"
"38940","1"
"39626","1"
"40209","1"
"40545","1"
"40891","1"
"41446","1"
"41520","1"
"41565","5"
"41827","2"
"42993","7"
"45390","1"
"47372","3"
"47443","1"
"48625","1"
"49096","1"
"50048","1"
"50272","1"
"50675","5"
"51050","1"
"51764","1"
"51816","1"
"52505","1"
"53652","1"
"53687","1"
"54465","1"
"54602","28"
"55105","1"
"55238","1"
"55732","1"
"56804","1"
"56873","30"
"57104","6"
"57820","2"
"57937","2"
"57999","1"
"58411","1"
"59385","1"
"61404","1"
"61473","1"
"61816","1"
"63367","6"
"63417","2"
"63935","1"
"64261","1"
"65840","1"
"66137","1"
"68546","3"
"69347","1"
"69872","1"
"70913","1"
"70923","1"
"70961","2"
"71152","1"
"72177","2"
"72345","1"
"72456","12"
"72825","1"
"73502","3"
"74218","2"
"74688","1"
"75917","1"
"76057","1"
"76223","2"
"77843","3"
"79478","1"
"80078","1"
"80607","1"
"80660","2"
"81688","1"
"81729","1"
"81982","1"
"83137","1"
"83397","1"
"83619","2"
"84261","8"
"84336","1"
"85631","1"
"86042","1"
"86210","1"
"87571","1"
"88293","1"
"89520","3"
"89544","1"
"90592","1"
"92855","1"
"93064","1"
"93234","1"
"93368","1"
"94084","1"
"94123","1"
"94773","1"
"94775","1"
"95195","1"
"95466","1"
"95489","1"
"96090","1"
"96836","1"
"96941","2"
"97547","1"
"97559","4"
"98262","1"
"98972","1"
"99557","1"
"99599","2"
