,"5"
"1622\",\"ip\":\"183.209.250.31\",\"gift_type\":\"\",\"gift_amount\":\"\",\"external_campaign_id\":\"58106\",\"phid\":\"02:00:00:00:00:00\",\"waid\":\"\",\"gos\":\"ios\",\"gcampaign_id\":\"2488\",\"gproduct_id\":\"2208","1"
"16351","21"
"16405","2"
"16538","1"
"16966","26"
"17028","5"
"17085","1065"
"17217","7"
"1725\",\"ip\":\"180.249.18.220\",\"gift_type\":\"\",\"gift_amount\":\"\",\"external_campaign_id\":\"43560\",\"phid\":\"02:00:00:00:00:00\",\"waid\":\"\",\"gos\":\"ios\",\"gcampaign_id\":\"1106\",\"gproduct_id\":\"1897","1"
"17259","2"
"1730\",\"ip\":\"61.242.114.130\",\"gift_type\":\"\",\"gift_amount\":\"\",\"external_campaign_id\":\"58068\",\"phid\":\"02:00:00:00:00:00\",\"waid\":\"\",\"gos\":\"ios\",\"gcampaign_id\":\"2544\",\"gproduct_id\":\"1694","1"
"17629","4"
"1781\",\"ip\":\"177.42.189.146\",\"gift_type\":\"\",\"gift_amount\":\"\",\"external_campaign_id\":\"57276\",\"phid\":\"398ef0a972eeeef289ec81f607773a05\",\"waid\":\"\",\"gos\":\"windows_phone8\",\"gcampaign_id\":\"2548\",\"gproduct_id\":\"1848","1"
"1781\",\"ip\":\"92.56.141.111\",\"gift_type\":\"\",\"gift_amount\":\"\",\"external_campaign_id\":\"57276\",\"phid\":\"4f92e749b750bc0dc4efe68bbf9ed6a0\",\"waid\":\"ef99826a41dc801a812c78802ea852b2\",\"gos\":\"windows8\",\"gcampaign_id\":\"2550\",\"gproduct_id\":\"1848","1"
"17914","18"
"18170","3"
"18391","62"
"18507","3"
"18549","3"
"18598","3"
"18618","1"
"18669","1"
"18670","1"
"18671","2"
"19015","1"
"19092","1"
"1936\",\"ip\":\"178.169.225.223\",\"gift_type\":\"\",\"gift_amount\":\"\",\"external_campaign_id\":\"43560\",\"phid\":\"53c6185d\",\"waid\":\"\",\"gos\":\"android\",\"gcampaign_id\":\"1108\",\"gproduct_id\":\"2116","1"
"19537","28"
"19689","1"
"19691","1"
"19907","2"
"19935","2"
"19987","4"
"20083","31"
"200f3cf3decfdd5cb81fa2fbf09a622335c010ec","1"
"20144","30"
"2018\",\"ip\":\"112.197.32.62\",\"gift_type\":\"\",\"gift_amount\":\"\",\"external_campaign_id\":\"57084\",\"phid\":\"e7dd07d919601eaae186063878896ab4\",\"waid\":\"\",\"gos\":\"windows_phone8\",\"gcampaign_id\":\"3762\",\"gproduct_id\":\"2566","1"
"20180","6"
"20446","1"
"20447","1"
"20676","1"
"20721","18"
"20955","74"
"21041","1"
"21117","499"
"21147","1"
"21169","24"
"21416","3"
"21478","1"
"21624","2"
"22040","1"
"2208\",\"ip\":\"109.10.80.219\",\"gift_type\":\"\",\"gift_amount\":\"\",\"external_campaign_id\":\"57340\",\"phid\":\"4b1308685524924e\",\"waid\":\"\",\"gos\":\"android\",\"gcampaign_id\":\"1120\",\"gproduct_id\":\"1649","1"
"22405","1"
"22422","1"
"22532","2"
